127.0.0.1 - - [06/Nov/2015:12:28:21 +0100] "GET /ATAF/content/css/styles.css HTTP/1.1" 200 16078
127.0.0.1 - - [06/Nov/2015:12:28:21 +0100] "GET /ATAF/content/img/panel-azulejos.jpg HTTP/1.1" 304 -
127.0.0.1 - - [06/Nov/2015:12:28:21 +0100] "GET /ATAF/content/img/ceramica_alfar.jpg HTTP/1.1" 304 -
127.0.0.1 - - [06/Nov/2015:12:28:21 +0100] "GET /ATAF/content/views/welcome.jsp HTTP/1.1" 200 894
127.0.0.1 - - [06/Nov/2015:12:28:21 +0100] "GET /css/styles.css HTTP/1.1" 404 1032
127.0.0.1 - - [06/Nov/2015:12:28:21 +0100] "GET /ATAF/content/img/url.jpg HTTP/1.1" 304 -
127.0.0.1 - - [06/Nov/2015:12:28:32 +0100] "GET /ATAF/ HTTP/1.1" 200 3680
127.0.0.1 - - [06/Nov/2015:12:28:32 +0100] "GET /ATAF/content/css/styles.css HTTP/1.1" 304 -
127.0.0.1 - - [06/Nov/2015:12:28:32 +0100] "GET /ATAF/content/img/panel-azulejos.jpg HTTP/1.1" 304 -
127.0.0.1 - - [06/Nov/2015:12:28:32 +0100] "GET /ATAF/content/img/ceramica_alfar.jpg HTTP/1.1" 304 -
127.0.0.1 - - [06/Nov/2015:12:28:32 +0100] "GET /ATAF/content/views/welcome.jsp HTTP/1.1" 200 894
127.0.0.1 - - [06/Nov/2015:12:28:32 +0100] "GET /css/styles.css HTTP/1.1" 404 1032
127.0.0.1 - - [06/Nov/2015:12:28:32 +0100] "GET /ATAF/content/img/url.jpg HTTP/1.1" 304 -
127.0.0.1 - - [06/Nov/2015:12:29:02 +0100] "GET /ATAF/ HTTP/1.1" 200 3680
127.0.0.1 - - [06/Nov/2015:12:29:02 +0100] "GET /ATAF/content/css/styles.css HTTP/1.1" 200 15894
127.0.0.1 - - [06/Nov/2015:12:29:02 +0100] "GET /ATAF/content/img/panel-azulejos.jpg HTTP/1.1" 304 -
